Date,Value
4/1/1951,2.627079123
7/1/1951,2.226598001
10/1/1951,0.459327308
1/1/1952,0.973451327
4/1/1952,-0.241016652
7/1/1952,0.900505161
10/1/1952,2.075170512
1/1/1953,1.748649417
4/1/1953,0.943132597
7/1/1953,-0.46369991
10/1/1953,-0.80656376
1/1/1954,-1.387915323
4/1/1954,-0.398066534
7/1/1954,1.198972309
10/1/1954,1.466854725
1/1/1955,2.140672783
4/1/1955,1.0955362
7/1/1955,1.332705122
10/1/1955,0.876785121
1/1/1956,-0.197537367
4/1/1956,0.455235205
7/1/1956,0.072244844
10/1/1956,1.10914222
1/1/1957,0.824354148
4/1/1957,-0.057941158
7/1/1957,0.586189127
10/1/1957,-1.549791867
1/1/1958,-2.029532297
4/1/1958,0.537812894
7/1/1958,2.364284771
10/1/1958,2.367741935
1/1/1959,1.241570555
4/1/1959,1.904880478
7/1/1959,-0.458155162
10/1/1959,0.8530224
1/1/1960,1.715954728
4/1/1960,-0.287150036
7/1/1960,0.095992321
10/1/1960,-0.857108607
1/1/1961,1.039840397
4/1/1961,1.244540178
7/1/1961,1.430175522
10/1/1961,2.249024063
1/1/1962,1.31061599
4/1/1962,1.040553462
7/1/1962,0.929637052
10/1/1962,-0.165462468
1/1/1963,1.35351638
4/1/1963,1.384497983
7/1/1963,1.747311828
10/1/1963,0.718626156
1/1/1964,2.234929962
4/1/1964,0.856981577
7/1/1964,1.007428513
10/1/1964,0.428168447
1/1/1965,2.1668255
4/1/1965,1.448279248
7/1/1965,1.592140921
10/1/1965,2.300766922
1/1/1966,1.97895325
4/1/1966,0.260262088
7/1/1966,1.024683487
10/1/1966,0.491367263
1/1/1967,0.565225193
4/1/1967,0.597733964
7/1/1967,1.44111387
10/1/1967,0.563885125
1/1/1968,1.160566809
4/1/1968,1.70154256
7/1/1968,0.777388145
10/1/1968,-0.09642393
1/1/1969,1.40579102
4/1/1969,0.136561142
7/1/1969,0.553764774
10/1/1969,-0.398651981
1/1/1970,-0.614813287
4/1/1970,-0.087187578
7/1/1970,1.21753584
10/1/1970,-0.903194022
1/1/1971,2.684563758
4/1/1971,-0.008069071
7/1/1971,0.512427372
10/1/1971,-0.004014291
1/1/1972,2.191890807
4/1/1972,1.944531741
7/1/1972,1.040422334
10/1/1972,1.876358644
1/1/1973,2.347171789
4/1/1973,0.256035113
7/1/1973,-0.098504196
10/1/1973,0.8947157
1/1/1974,-0.557405531
4/1/1974,0.283904783
7/1/1974,-1.302990708
10/1/1974,-0.878902659
1/1/1975,-1.955182904
4/1/1975,1.017898362
7/1/1975,1.696883428
10/1/1975,1.392316476
1/1/1976,1.878155992
4/1/1976,0.445728141
7/1/1976,0.415350208
10/1/1976,0.996959627
1/1/1977,1.37216466
4/1/1977,1.612569061
7/1/1977,2.00835967
10/1/1977,-0.256512759
1/1/1978,0.881734077
4/1/1978,3.158417481
7/1/1978,0.856895279
10/1/1978,1.241010628
1/1/1979,0.003143073
4/1/1979,-0.094289216
7/1/1979,0.902884827
10/1/1979,-0.190185197
1/1/1980,1.002717646
4/1/1980,-2.36283788
7/1/1980,0.066518847
10/1/1980,1.269348865
1/1/1981,1.934858715
4/1/1981,-0.334243047
7/1/1981,0.443049658
10/1/1981,-1.396802058
1/1/1982,-1.509785648
4/1/1982,0.299646732
7/1/1982,-0.798767257
10/1/1982,0.152163576
1/1/1983,0.990725794
4/1/1983,2.153200025
7/1/1983,1.353051269
10/1/1983,1.628625053
1/1/1984,2.746336233
4/1/1984,1.25239172
7/1/1984,0.509648972
10/1/1984,0.148131267
